date,price
2015-04-28 16:03:50,48604
2015-04-28 20:00:00,61104
2015-04-28 23:59:59,66164
2015-04-29 03:59:57,73054
2015-04-29 07:59:57,70756
2015-04-29 12:00:10,62729
2015-04-29 16:00:02,55600
2015-04-29 19:59:58,53410
2015-04-29 23:59:59,52358
2015-04-30 04:02:11,51062
2015-04-30 08:00:00,55760
2015-04-30 12:00:00,62759
2015-04-30 16:00:05,68372
2015-04-30 20:00:05,69508
2015-05-01 00:00:00,68038
2015-05-01 04:00:05,62270
2015-05-01 08:00:00,55196
2015-05-01 12:00:05,52530
2015-05-01 15:59:59,59190
2015-05-01 20:00:00,66278
2015-05-01 23:59:59,73042
2015-05-02 04:00:10,70569
2015-05-02 08:00:04,62550
2015-05-02 12:00:01,55444
2015-05-02 16:00:00,53608
2015-05-02 20:02:59,60405
2015-05-03 00:02:59,68039
2015-05-03 04:02:59,73234
2015-05-03 08:03:00,67685
2015-05-03 12:03:01,60043
2015-05-03 16:03:07,53406
2015-05-03 20:03:04,59237
2015-05-04 00:02:59,66741
2015-05-04 04:02:59,73779
2015-05-04 08:02:59,70990
2015-05-04 12:03:02,63962
2015-05-04 16:03:01,57165
2015-05-04 20:03:00,55071
2015-05-05 00:03:00,60111
2015-05-05 04:03:00,67637
2015-05-05 08:02:59,73474
2015-05-05 12:24:16,70268
2015-05-05 16:22:58,62284
2015-05-05 20:22:58,55208
2015-05-06 00:23:22,53172
2015-05-06 04:23:05,59915
2015-05-06 08:22:59,67511
2015-05-06 12:23:05,73653
2015-05-06 16:23:07,68281
2015-05-06 20:23:00,60523
2015-05-07 00:23:04,55157
2015-05-07 04:23:03,62050
2015-05-07 08:22:58,69802
2015-05-07 12:23:11,75015
2015-05-07 16:23:04,68468
2015-05-07 20:23:00,61862
2015-05-08 00:23:00,56629
2015-05-08 04:22:59,63743
2015-05-08 08:23:15,71804
2015-05-08 12:23:10,72820
2015-05-08 16:23:06,64672
2015-05-08 20:23:01,61831
2015-05-09 00:23:00,64587
2015-05-09 04:23:01,72680
2015-05-09 08:23:00,72269
2015-05-09 12:27:25,65149
2015-05-09 16:23:04,68168
2015-05-09 20:23:04,75630
2015-05-10 00:23:01,78876
2015-05-10 04:27:27,70734
2015-05-10 08:22:59,62699
2015-05-10 12:28:08,66722
2015-05-10 16:23:11,73946
2015-05-10 20:23:00,72964
2015-05-11 00:23:07,70416
2015-05-11 04:23:02,69698
2015-05-11 08:23:01,71866
2015-05-11 12:23:01,70829
2015-05-11 16:22:59,71267
2015-05-11 20:24:37,75432
2015-05-12 00:23:00,78583
2015-05-12 04:23:02,71090
2015-05-12 08:22:58,65162
2015-05-12 12:24:05,73205
2015-05-12 16:34:23,71281
2015-05-12 20:33:07,64620
2015-05-13 00:33:17,66141
2015-05-13 04:34:29,74456
2015-05-13 08:33:03,75719
2015-05-13 12:33:05,68898
2015-05-13 16:33:11,73678
2015-05-14 01:23:01,77013
2015-05-14 05:17:21,73291
2015-05-14 09:13:01,70030
2015-05-14 13:13:07,74005
2015-05-14 17:13:14,70998
2015-05-14 21:13:02,69580
2015-05-15 01:13:05,72505
2015-05-15 05:13:12,73505
2015-05-15 09:07:16,71698
2015-05-15 13:04:37,72496
2015-05-15 17:03:10,71037
2015-05-15 21:03:01,71047
2015-05-16 01:03:04,72678
2015-05-16 05:03:09,71234
2015-05-16 09:03:24,72084
2015-05-16 13:03:04,72022
2015-05-16 17:03:28,71886
2015-05-16 21:03:00,72214
2015-05-17 01:02:59,72990
2015-05-17 05:03:07,72126
2015-05-17 08:57:21,72425
2015-05-17 12:53:09,72614
2015-05-17 16:53:13,72826
2015-05-17 20:53:05,71700
2015-05-18 00:53:07,73510
2015-05-18 04:53:10,73034
2015-05-18 08:53:01,72964
2015-05-18 12:53:05,74048
2015-05-18 16:57:23,72766
2015-05-18 20:53:21,73476
2015-05-19 00:53:06,74128
2015-05-19 04:53:10,73677
2015-05-19 08:53:01,73501
2015-05-19 12:57:22,73466
2015-05-19 16:53:09,73649
2015-05-19 20:53:27,74053
2015-05-20 00:57:27,74927
2015-05-20 04:53:06,74309
2015-05-20 08:53:00,74208
2015-05-20 12:53:14,74869
2015-05-20 16:53:38,73927
2015-05-20 20:53:01,74037
2015-05-21 00:53:12,75627
2015-05-21 04:53:23,75185
2015-05-21 08:53:00,75308
2015-05-21 12:57:34,76487
2015-05-21 16:53:14,74563
2015-05-21 20:53:07,75000
2015-05-22 00:53:18,77132
2015-05-22 04:53:13,75602
2015-05-22 08:52:59,75987
2015-05-22 12:53:17,77108
2015-05-22 16:53:23,76209
2015-05-22 20:57:40,76245
2015-05-23 00:53:37,77260
2015-05-23 04:53:29,76230
2015-05-23 08:48:16,76681
