date,price
2015-04-21 15:05:05,35000
2015-04-21 19:05:04,41041
2015-04-21 23:05:04,44392
2015-04-22 03:05:04,41265
2015-04-22 07:05:04,40361
2015-04-22 11:05:04,39361
2015-04-22 15:05:04,38622
2015-04-22 19:05:04,37273
2015-04-22 23:05:04,35804
2015-04-23 03:05:03,34394
2015-04-23 07:05:03,33039
2015-04-23 11:08:02,31950
2015-04-23 15:05:03,32414
2015-04-23 19:05:10,33730
2015-04-23 23:05:18,35100
2015-04-24 03:02:57,36526
2015-04-24 07:02:58,38009
2015-04-24 11:02:57,39553
2015-04-24 15:02:57,40902
2015-04-24 19:02:57,39561
2015-04-24 23:02:57,35066
2015-04-25 03:02:56,31082
2015-04-25 07:02:57,30352
2015-04-25 11:02:56,34203
2015-04-25 15:02:58,38486
2015-04-25 19:02:58,42336
2015-04-25 23:02:57,42876
2015-04-26 03:02:58,39635
2015-04-26 07:02:57,35186
2015-04-26 11:02:57,34539
2015-04-26 15:02:57,38866
2015-04-26 19:02:58,42755
2015-04-26 23:02:58,43643
2015-04-27 03:02:58,41754
2015-04-27 07:02:57,38112
2015-04-27 11:02:57,33939
2015-04-27 15:02:56,34904
2015-04-27 18:56:57,39261
2015-04-27 22:56:57,42322
2015-04-28 02:59:00,43324
2015-04-28 06:58:57,43710
2015-04-28 10:58:57,41908
2015-04-28 14:58:57,37260
2015-04-28 18:58:57,34242
2015-04-28 22:58:56,36332
2015-04-29 02:58:57,40863
2015-04-29 06:58:59,45431
2015-04-29 10:58:56,47151
2015-04-29 14:58:59,42778
2015-04-29 18:58:58,37917
2015-04-29 22:58:57,33610
2015-04-30 02:58:56,33308
2015-04-30 06:58:56,37293
2015-04-30 10:58:57,41664
2015-04-30 14:58:57,44226
2015-04-30 18:58:57,43184
2015-04-30 22:58:56,38277
2015-05-01 02:59:02,33928
2015-05-01 06:58:56,30944
2015-05-01 10:59:02,34868
2015-05-01 14:58:59,38889
2015-05-01 18:58:57,42941
2015-05-01 22:58:56,43177
2015-05-02 02:58:57,40670
2015-05-02 06:58:58,37039
2015-05-02 10:58:56,34849
2015-05-02 14:59:03,39262
2015-05-02 19:01:56,42705
2015-05-02 23:01:57,42551
2015-05-03 03:01:59,39831
2015-05-03 07:01:58,36879
2015-05-03 11:01:57,35905
2015-05-03 15:02:04,38800
2015-05-03 19:02:04,41689
2015-05-03 23:01:57,41342
2015-05-04 03:01:59,38070
2015-05-04 07:01:57,35635
2015-05-04 11:01:58,37174
2015-05-04 15:01:58,40499
2015-05-04 19:01:59,41214
2015-05-04 23:01:57,38466
2015-05-05 03:02:02,35848
2015-05-05 07:01:58,35901
2015-05-05 11:01:58,39450
2015-05-05 15:01:57,41962
2015-05-05 19:01:56,40163
2015-05-05 23:01:57,36300
2015-05-06 03:01:58,35845
2015-05-06 07:01:57,37397
2015-05-06 11:01:57,40246
2015-05-06 15:02:09,41496
2015-05-06 19:02:09,38947
2015-05-06 23:01:57,36705
2015-05-07 03:01:57,36879
2015-05-07 07:02:02,38131
2015-05-07 11:02:03,40256
