date,price
2015-05-06 23:47:59,123523
2015-05-07 03:45:14,138673
2015-05-07 07:45:01,155646
2015-05-07 11:45:18,174452
2015-05-07 15:45:18,179163
2015-05-07 19:45:10,170480
2015-05-07 23:45:02,160853
2015-05-08 03:45:06,142578
2015-05-08 07:45:04,126714
2015-05-08 11:45:09,127995
2015-05-08 15:46:10,144229
2015-05-08 19:45:09,162470
2015-05-08 23:45:10,180793
2015-05-09 03:45:04,180215
2015-05-09 07:45:16,159739
2015-05-09 11:46:10,141591
2015-05-09 15:45:19,125502
2015-05-09 19:45:10,121305
2015-05-09 23:45:07,128785
2015-05-10 03:45:24,142539
2015-05-10 07:45:04,159926
2015-05-10 11:45:18,176350
2015-05-10 15:45:31,177922
2015-05-10 19:45:02,167251
2015-05-10 23:45:09,156317
2015-05-11 03:45:15,146322
2015-05-11 07:45:04,138638
2015-05-11 11:45:04,136295
2015-05-11 15:45:12,144113
2015-05-11 19:45:03,155324
2015-05-11 23:45:13,167578
2015-05-12 03:45:06,178189
2015-05-12 07:45:05,182059
2015-05-12 11:46:09,176105
2015-05-12 15:46:55,165224
2015-05-12 19:45:06,154746
2015-05-12 23:45:04,145322
2015-05-13 03:46:38,138367
2015-05-13 07:45:02,138447
2015-05-13 11:45:32,145672
2015-05-13 15:46:11,156870
2015-05-13 19:46:12,159065
2015-05-14 01:25:04,153364
2015-05-14 05:27:40,139201
2015-05-14 09:25:14,146934
2015-05-14 13:25:09,159919
2015-05-14 17:25:11,165325
2015-05-14 21:26:11,167321
2015-05-15 01:25:15,164368
2015-05-15 05:25:17,157885
2015-05-15 09:25:13,154136
2015-05-15 13:17:17,156231
2015-05-15 17:15:36,159090
2015-05-15 21:15:03,160938
2015-05-16 01:15:12,160782
2015-05-16 05:15:25,160752
2015-05-16 09:15:07,152893
2015-05-16 13:16:08,148470
2015-05-16 17:15:09,152574
2015-05-16 21:15:03,155756
2015-05-17 01:15:16,159998
2015-05-17 05:15:13,159689
2015-05-17 09:15:12,155145
2015-05-17 13:15:09,156433
2015-05-17 17:15:10,163157
2015-05-17 21:15:03,166658
2015-05-18 01:15:11,168706
2015-05-18 05:15:15,166235
2015-05-18 09:15:04,161664
2015-05-18 13:15:11,160421
2015-05-18 17:15:04,159102
2015-05-18 21:15:35,157722
2015-05-19 01:15:08,160491
2015-05-19 05:15:08,167749
2015-05-19 09:15:04,172123
2015-05-19 13:15:16,166477
2015-05-19 17:16:16,159142
2015-05-19 21:15:06,155735
2015-05-20 01:15:20,161032
2015-05-20 05:15:13,169504
2015-05-20 09:15:06,174810
2015-05-20 13:15:09,172558
2015-05-20 17:15:15,167449
2015-05-20 21:15:05,161337
2015-05-21 01:15:09,159823
2015-05-21 05:16:12,167741
2015-05-21 09:15:08,173441
