date,price
2015-04-07 17:12:38,30000
2015-04-07 22:04:02,30906
2015-04-08 02:04:02,28515
2015-04-08 06:04:02,25024
2015-04-08 10:04:37,24038
2015-04-08 14:04:01,23091
2015-04-08 18:04:37,22181
2015-04-08 22:04:38,21307
2015-04-09 02:04:33,20467
2015-04-09 06:04:01,20988
2015-04-09 10:04:38,21840
2015-04-09 14:04:38,22727
2015-04-09 18:04:39,23650
2015-04-09 22:04:38,24611
2015-04-10 02:04:01,25611
2015-04-10 06:04:38,26651
2015-04-10 10:04:40,26485
2015-04-10 14:04:39,25441
2015-04-10 18:04:37,24439
2015-04-11 00:27:24,22779
2015-04-11 04:33:11,21881
2015-04-11 08:33:11,21876
2015-04-11 12:33:10,22764
2015-04-11 16:33:10,23689
2015-04-11 20:33:11,24260
2015-04-12 00:33:11,23304
2015-04-12 04:33:12,22386
2015-04-12 08:33:12,21504
2015-04-12 12:33:11,20656
2015-04-12 16:33:10,21496
2015-04-12 20:33:12,22368
2015-04-13 00:33:12,23276
2015-04-13 04:33:13,23314
2015-04-13 08:33:12,22396
2015-04-13 12:33:11,21514
2015-04-13 16:33:11,21666
2015-04-13 20:33:11,22546
2015-04-14 00:33:11,23461
2015-04-14 04:33:10,22990
2015-04-14 08:33:11,22084
2015-04-14 12:48:11,21214
2015-04-14 16:48:11,21782
2015-04-14 20:48:12,22666
2015-04-15 00:48:12,23587
2015-04-15 04:48:11,24310
2015-04-15 08:48:11,23526
2015-04-15 12:48:10,22599
2015-04-15 16:48:10,21709
2015-04-15 20:48:10,21430
2015-04-16 00:48:11,22279
2015-04-16 04:48:11,23184
2015-04-16 08:48:11,24067
2015-04-16 12:48:11,24407
2015-04-16 16:48:11,23699
2015-04-16 20:48:10,22765
2015-04-17 00:48:11,21868
2015-04-17 04:48:10,21376
2015-04-17 08:48:10,22244
2015-04-17 12:48:10,23147
2015-04-17 16:48:12,24011
2015-04-17 20:48:12,23742
2015-04-18 00:48:10,22807
2015-04-18 04:48:10,21908
2015-04-18 08:48:11,21044
2015-04-18 12:48:12,20296
2015-04-18 16:48:11,21117
2015-04-18 20:48:11,21974
2015-04-19 00:48:12,22866
2015-04-19 04:48:11,23629
2015-04-19 08:48:10,23541
2015-04-19 12:48:11,22799
2015-04-19 16:48:11,21901
2015-04-19 20:48:11,21038
2015-04-20 00:48:11,21369
2015-04-20 04:48:11,22237
2015-04-20 08:48:10,23140
2015-04-20 12:48:12,24079
2015-04-20 16:48:11,24678
2015-04-20 20:48:12,23957
2015-04-21 00:48:11,23013
2015-04-21 04:48:10,22106
2015-04-21 08:48:11,21235
2015-04-21 13:33:12,20399
2015-04-21 17:33:10,20887
2015-04-21 21:33:12,21735
2015-04-22 01:33:10,22618
2015-04-22 05:33:11,23536
2015-04-22 09:33:10,24491
2015-04-22 13:33:12,24961
2015-04-22 17:33:10,24116
2015-04-22 21:33:10,23166
2015-04-23 01:33:11,22253
2015-04-23 05:48:11,21387
2015-04-23 09:48:11,21138
2015-04-23 13:48:10,21459
2015-04-23 17:48:10,22298
2015-04-23 22:03:14,23066
2015-04-24 02:03:14,22921
2015-04-24 06:01:57,22018
2015-04-24 10:01:56,21150
2015-04-24 14:01:56,20384
2015-04-24 18:01:57,21025
2015-04-24 22:01:56,22925
2015-04-25 02:01:57,23997
2015-04-25 06:01:56,22757
2015-04-25 10:01:57,20525
2015-04-25 14:01:58,20056
2015-04-25 18:01:57,22481
2015-04-25 22:01:57,24453
2015-04-26 02:01:56,23757
2015-04-26 06:01:56,21182
2015-04-26 10:01:57,19989
2015-04-26 14:01:56,20311
2015-04-26 18:01:56,22245
2015-04-26 22:01:57,24194
2015-04-27 02:01:57,24726
2015-04-27 06:01:56,22878
2015-04-27 10:01:56,20281
2015-04-27 14:01:56,19018
2015-04-27 17:55:57,21349
2015-04-27 21:55:57,23955
2015-04-28 01:55:57,25330
2015-04-28 05:57:57,24118
2015-04-28 09:57:57,21918
2015-04-28 13:57:57,19568
2015-04-28 17:57:57,20346
2015-04-28 21:57:58,20962
2015-04-29 01:57:58,23149
2015-04-29 05:57:57,25593
2015-04-29 09:57:58,26607
2015-04-29 13:57:58,25914
2015-04-29 17:57:57,23119
2015-04-29 21:57:58,20493
2015-04-30 01:57:58,21386
2015-04-30 05:57:58,24025
2015-04-30 09:57:58,26250
2015-04-30 13:57:58,27171
2015-04-30 17:57:58,26052
2015-04-30 21:57:58,23284
2015-05-01 01:57:57,20638
2015-05-01 05:57:57,20484
2015-05-01 09:57:57,23036
2015-05-01 13:57:58,25443
2015-05-01 17:57:58,26443
2015-05-01 21:57:58,24966
2015-05-02 01:57:57,22139
2015-05-02 05:57:58,19823
2015-05-02 09:57:58,19140
2015-05-02 13:57:58,21432
2015-05-02 17:57:58,23923
2015-05-02 22:00:58,25460
2015-05-03 02:00:58,24561
2015-05-03 06:00:58,21918
2015-05-03 10:00:59,19429
2015-05-03 14:00:58,18296
2015-05-03 18:00:57,20616
2015-05-03 22:00:58,23155
2015-05-04 02:00:58,25225
2015-05-04 06:00:57,25693
2015-05-04 10:00:58,24566
2015-05-04 14:00:58,22162
2015-05-04 18:00:58,19648
2015-05-04 22:00:58,21007
2015-05-05 02:00:58,23635
2015-05-05 06:00:57,25769
2015-05-05 10:00:58,26510
2015-05-05 14:00:57,26080
2015-05-05 18:00:58,24084
2015-05-05 22:00:57,21350
2015-05-06 02:00:57,20406
2015-05-06 06:00:58,22953
2015-05-06 10:00:58,25544
2015-05-06 14:00:57,27512
2015-05-06 18:06:33,26848
2015-05-06 22:00:57,24295
2015-05-07 02:00:58,21534
2015-05-07 06:00:58,19951
2015-05-07 10:00:57,22397
2015-05-07 14:00:58,25162
2015-05-07 18:00:58,27360
2015-05-07 22:00:58,27051
2015-05-08 02:00:58,23977
2015-05-08 06:00:58,21253
2015-05-08 10:00:58,18840
2015-05-08 14:00:58,19356
2015-05-08 18:00:58,21811
2015-05-08 22:00:57,24420
2015-05-09 02:00:58,24507
2015-05-09 06:00:58,21795
2015-05-09 10:00:57,20062
2015-05-09 14:00:59,20752
2015-05-09 18:00:58,23386
2015-05-09 22:00:58,24618
2015-05-10 02:00:58,23002
2015-05-10 06:00:58,20445
2015-05-10 10:00:58,20709
2015-05-10 14:00:59,22738
2015-05-10 18:00:58,24574
2015-05-10 22:00:58,23142
2015-05-11 02:00:58,20795
2015-05-11 06:00:58,22498
2015-05-11 10:00:59,24443
2015-05-11 14:00:57,25248
2015-05-11 18:00:58,23689
2015-05-11 22:00:58,21143
2015-05-12 02:00:58,22130
2015-05-12 06:00:58,24765
2015-05-12 10:00:58,25552
2015-05-12 19:10:58,25415
2015-05-12 23:10:59,23180
2015-05-13 03:10:59,21399
2015-05-13 07:35:48,23761
2015-05-13 11:30:58,25787
2015-05-13 15:30:58,25142
2015-05-13 19:30:59,22539
2015-05-13 23:40:58,21742
2015-05-14 03:40:58,23666
2015-05-14 07:40:59,23884
2015-05-14 11:40:57,22721
2015-05-14 15:40:58,22712
2015-05-14 19:40:59,23252
2015-05-14 23:40:58,22711
2015-05-15 03:40:58,22965
2015-05-15 07:40:58,23685
2015-05-15 14:18:24,20912
2015-05-15 18:20:58,22756
2015-05-15 22:20:58,23901
2015-05-16 02:20:58,21819
2015-05-16 06:20:59,22065
2015-05-16 10:20:58,21976
2015-05-16 14:20:58,22467
2015-05-16 18:20:57,22011
2015-05-16 22:20:59,22695
2015-05-17 02:21:00,21866
2015-05-17 06:20:59,21902
2015-05-17 10:20:59,22108
2015-05-17 14:20:57,22358
2015-05-17 18:21:01,22660
2015-05-17 22:20:59,22416
2015-05-18 02:20:59,22252
