date,price
2015-05-06 22:04:08,250000
2015-05-07 02:04:09,275180
2015-05-07 06:04:01,308756
2015-05-07 10:04:03,342634
2015-05-07 14:05:10,328547
2015-05-07 18:04:07,291220
2015-05-07 22:04:02,258135
2015-05-08 02:04:02,228806
2015-05-08 06:04:03,205644
2015-05-08 10:04:03,229130
2015-05-08 14:04:14,258188
2015-05-08 18:04:13,290935
2015-05-08 22:04:08,325673
2015-05-09 02:04:04,337744
2015-05-09 06:04:06,299855
2015-05-09 10:04:02,265786
2015-05-09 14:04:25,235588
2015-05-09 18:04:08,210156
2015-05-09 22:04:01,215047
2015-05-10 02:04:10,236769
2015-05-10 06:05:09,264960
2015-05-10 10:04:03,290364
2015-05-10 14:04:03,303392
2015-05-10 18:04:02,287711
2015-05-10 22:04:02,266103
2015-05-11 02:04:02,246283
2015-05-11 06:04:03,229977
2015-05-11 10:04:03,220352
2015-05-11 14:04:02,227910
2015-05-11 18:04:00,250059
2015-05-11 22:04:01,273204
2015-05-12 02:04:09,297294
2015-05-12 06:04:03,315963
2015-05-12 10:04:03,314611
2015-05-12 14:05:13,288978
2015-05-12 18:04:31,256364
2015-05-12 22:04:08,227297
2015-05-13 02:05:33,208551
2015-05-13 06:05:34,225807
2015-05-13 10:04:02,254444
2015-05-13 14:04:08,286677
2015-05-13 18:04:06,311257
2015-05-14 01:24:04,290112
2015-05-14 05:26:39,257152
2015-05-14 09:24:12,227936
2015-05-14 13:24:07,220216
2015-05-14 17:24:09,246811
2015-05-14 21:25:09,269102
2015-05-15 01:24:13,286498
2015-05-15 05:24:17,280574
2015-05-15 09:24:12,249258
2015-05-15 13:16:15,230263
2015-05-15 17:14:34,235784
2015-05-15 21:14:02,244735
2015-05-16 01:14:10,250670
2015-05-16 05:14:24,248893
2015-05-16 09:14:07,240821
2015-05-16 13:15:07,226937
2015-05-16 17:14:07,229996
2015-05-16 21:14:02,229244
2015-05-17 01:14:15,232446
2015-05-17 05:14:11,235676
2015-05-17 09:14:11,227327
2015-05-17 13:14:07,226601
2015-05-17 17:14:10,228227
2015-05-17 21:14:01,218444
2015-05-18 01:14:09,222743
2015-05-18 05:14:14,233374
2015-05-18 09:14:02,231075
2015-05-18 13:14:11,227320
2015-05-18 17:14:02,221421
2015-05-18 21:14:32,212320
2015-05-19 01:14:07,221961
2015-05-19 05:14:06,234360
2015-05-19 09:14:03,235734
2015-05-19 13:14:15,227304
2015-05-19 17:15:15,222528
2015-05-19 21:14:04,215678
2015-05-20 01:14:17,217036
2015-05-20 05:14:11,229112
2015-05-20 09:14:05,230686
2015-05-20 13:14:08,225165
2015-05-20 17:14:13,224864
2015-05-20 21:14:03,224172
2015-05-21 01:14:08,225498
2015-05-21 05:15:11,232142
2015-05-21 09:14:07,231458
2015-05-21 13:14:21,229665
2015-05-21 17:14:25,226100
2015-05-21 21:14:14,229440
2015-05-22 01:14:08,230318
2015-05-22 05:14:11,221222
2015-05-22 09:14:14,223384
2015-05-22 13:14:30,230602
2015-05-22 17:15:16,227213
2015-05-22 21:14:23,215816
2015-05-23 01:14:46,221191
2015-05-23 05:14:25,234215
2015-05-23 09:14:33,221966
2015-05-23 13:14:45,219636
2015-05-23 17:14:31,213062
2015-05-23 21:14:35,216537
2015-05-24 01:14:45,221991
2015-05-24 05:14:58,220233
2015-05-24 09:14:43,224591
2015-05-24 13:15:12,224075
2015-05-24 17:15:41,206908
2015-05-24 21:14:40,209483
2015-05-25 01:14:39,215866
2015-05-25 05:14:44,226596
2015-05-25 09:14:43,235377
2015-05-25 13:14:46,232338
2015-05-25 17:14:44,206425
2015-05-25 21:14:45,216251
2015-05-26 01:15:03,223704
2015-05-26 05:14:46,229711
2015-05-26 09:14:39,233342
2015-05-26 13:14:54,224472
2015-05-26 17:14:50,220301
2015-05-26 21:14:59,214403
2015-05-27 01:15:02,213955
2015-05-27 05:14:57,227596
2015-05-27 09:14:58,243429
2015-05-27 13:14:59,223569
2015-05-27 17:16:01,217757
2015-05-27 21:16:04,219284
2015-05-28 01:15:11,220297
2015-05-28 05:15:10,224240
2015-05-28 09:14:28,229010
2015-05-28 13:15:19,207632
2015-05-28 17:15:23,222549
2015-05-28 21:15:26,241017
2015-05-29 01:15:25,249848
2015-05-29 05:15:30,232754
2015-05-29 09:15:25,206735
2015-05-29 13:15:38,220726
2015-05-29 17:15:34,223508
2015-05-29 21:16:02,222351
2015-05-30 01:15:36,220741
2015-05-30 05:16:05,217807
2015-05-30 09:15:43,218970
2015-05-30 13:15:47,218853
2015-05-30 17:15:41,212468
2015-05-30 21:15:52,212678
2015-05-31 01:16:03,215672
2015-05-31 05:16:27,222711
2015-05-31 09:16:15,208104
2015-05-31 13:16:25,205909
2015-05-31 17:16:22,223198
2015-05-31 21:16:23,213111
2015-06-01 01:16:35,209019
2015-06-01 05:17:18,218241
2015-06-01 09:16:51,213570
2015-06-01 13:17:10,204274
2015-06-01 17:16:59,214473
2015-06-01 21:14:02,217518
2015-06-02 01:14:09,213898
2015-06-02 05:14:08,202729
2015-06-02 09:14:06,202421
2015-06-02 13:14:10,211434
2015-06-02 17:14:06,213846
2015-06-02 21:14:22,189550
2015-06-03 01:14:08,177751
2015-06-03 05:14:07,199637
2015-06-03 09:14:06,211747
2015-06-03 13:14:13,212435
2015-06-03 17:14:01,214094
2015-06-03 21:15:11,206169
2015-06-04 01:14:08,205495
2015-06-04 05:14:14,211332
2015-06-04 09:14:01,213468
2015-06-04 13:14:03,214068
2015-06-04 17:14:03,203693
2015-06-04 21:14:10,192374
2015-06-05 01:14:03,194355
2015-06-05 05:14:04,210803
2015-06-05 09:14:01,209265
2015-06-05 13:14:06,186396
2015-06-05 17:14:06,199784
2015-06-05 21:14:03,205202
2015-06-06 01:14:03,214232
2015-06-06 05:14:04,215641
2015-06-06 09:14:03,194903
2015-06-06 13:14:05,195154
2015-06-06 17:14:01,207607
2015-06-06 21:14:01,217471
2015-06-07 01:14:01,219080
2015-06-07 05:14:09,208256
2015-06-07 09:14:03,207808
2015-06-07 13:14:09,209557
2015-06-07 17:14:08,210120
2015-06-07 21:14:03,208287
2015-06-08 01:14:02,208400
2015-06-08 05:14:05,211047
2015-06-08 09:14:06,209373
2015-06-08 13:14:08,199827
2015-06-08 17:14:08,188997
2015-06-08 21:14:09,195310
2015-06-09 01:14:05,203451
2015-06-09 05:14:09,217744
2015-06-09 09:14:02,207000
2015-06-09 13:14:03,196499
2015-06-09 17:14:07,204138
2015-06-09 21:14:03,205133
2015-06-10 01:14:07,203764
2015-06-10 05:14:05,205521
2015-06-10 09:14:02,207999
2015-06-10 13:14:03,208665
2015-06-10 17:14:04,207963
2015-06-10 21:15:08,206560
2015-06-11 01:14:04,205970
2015-06-11 05:14:03,208600
2015-06-11 09:14:04,208428
2015-06-11 13:14:05,210441
2015-06-11 17:14:02,207625
2015-06-11 21:14:03,203644
2015-06-12 01:14:03,201084
2015-06-12 05:14:07,200792
2015-06-12 10:34:02,207856
2015-06-12 14:34:15,215175
2015-06-12 18:34:02,205326
2015-06-12 22:34:09,198830
2015-06-13 02:34:04,201517
2015-06-14 19:16:05,209048
2015-06-14 23:14:08,209204
2015-06-15 03:14:04,210330
2015-06-15 07:14:08,207617
2015-06-15 11:14:04,204253
2015-06-15 15:14:14,207290
2015-06-15 19:14:01,210988
2015-06-15 23:14:09,210191
2015-06-16 03:14:03,207777
2015-06-16 07:13:49,207484
2015-06-16 11:14:23,205774
2015-06-16 15:14:04,209299
2015-06-16 19:14:03,208181
2015-06-16 23:14:02,209602
2015-06-17 03:14:03,209407
2015-06-17 07:14:04,207409
2015-06-17 11:14:04,206185
2015-06-17 15:14:09,208223
2015-06-17 19:14:06,206257
2015-06-17 23:14:00,203601
2015-06-18 03:14:07,206393
2015-06-18 07:14:07,215383
2015-06-18 11:14:20,219679
2015-06-18 15:14:08,217710
2015-06-18 19:14:02,201567
2015-06-18 23:14:09,197250
2015-06-19 03:14:07,210736
2015-06-19 07:14:03,218437
2015-06-19 11:14:05,204016
2015-06-19 15:14:09,210475
2015-06-19 19:14:02,212147
2015-06-19 23:14:00,213197
2015-06-20 15:41:22,215152
2015-06-20 19:34:02,215432
2015-06-20 23:34:09,215992
2015-06-21 03:34:07,216642
2015-06-21 07:34:04,220726
2015-06-21 11:34:12,217202
2015-06-21 15:34:08,223774
2015-06-21 19:34:03,220505
2015-06-21 23:34:04,219278
2015-06-22 03:34:04,225174
2015-06-22 07:34:03,229328
2015-06-22 11:34:04,223830
2015-06-22 15:34:02,214148
2015-06-22 19:34:07,210365
2015-06-22 23:34:08,208287
2015-06-23 03:34:08,217149
2015-06-23 07:34:05,227394
2015-06-23 11:35:09,229895
2015-06-25 14:28:35,255728
2015-06-25 18:23:39,251262
2015-06-25 22:23:43,234223
2015-06-26 02:25:12,224035
2015-06-26 06:25:11,226422
2015-06-26 10:25:04,235417
2015-06-26 14:25:10,245355
2015-06-26 18:25:06,237215
2015-06-26 22:25:10,228020
2015-06-27 02:25:05,223007
2015-06-27 06:25:10,230904
2015-06-27 10:25:06,234861
2015-06-27 14:25:06,236903
2015-06-27 18:23:47,229386
2015-06-27 22:24:58,219482
2015-06-28 02:23:46,216091
2015-06-28 06:23:46,227199
2015-06-28 10:23:46,232777
2015-06-28 14:23:51,229549
2015-06-28 18:23:46,225653
2015-06-28 22:23:43,220526
2015-06-29 02:23:47,217184
2015-06-29 06:23:47,213439
2015-06-29 10:24:07,213204
2015-06-29 14:23:49,224516
